start	end	text
0	5720	Do you guys know about the Putnam?
5720	8760	It's a math competition for undergraduate students.
8760	12760	It's a six hour long test that just has 12 questions broken up into two different three
12760	13760	hour sessions.
13760	17960	And each one of those questions is scored 1-10, so the highest possible score would
17960	19760	be 120.
19760	23800	And yet, despite the fact that the only students taking this thing each year are those who
23800	29160	clearly are already pretty interested in math, the median score tends to be around 1-2.
29160	31480	So it's a hard test.
31480	35880	And on each one of those sections of six questions, the problems tend to get harder as you go
35880	40240	from one to six, although of course difficulty is in the eye of the beholder.
40240	44120	But the thing about those fives and sixes is that even though they're positioned as
44120	48680	the hardest problems on a famously hard test, quite often these are the ones with the most
48680	50600	elegant solutions available.
50600	56200	Some subtle shift in perspective that transforms it from very challenging to doable.
56200	59400	Here I'm going to share with you one problem that came up as the sixth question on one
59400	60840	of these tests a while back.
60840	64280	And those of you who follow the channel, you know that rather than just jumping straight
64280	68240	to the solution, which in this case would be surprisingly short, when possible I like
68240	72880	to take the time to walk you through how you might have stumbled across the solution yourself,
72880	74480	where the insight comes from.
74480	78640	That is, make a video more about the problem solving process than about the problem used
78640	80360	to exemplify it.
80360	81880	So anyway, here's the question.
81880	86880	If you choose four random points on a sphere and consider the tetrahedron with these points
86880	93560	as its vertices, what is the probability that the center of the sphere is inside that tetrahedron?
93560	97640	Go ahead, take a moment and kind of digest this question.
97640	101320	You might start thinking about which of these tetrahedra contain the sphere's center,
101320	105640	which ones don't, how you might systematically distinguish the two.
105640	108640	And how do you even approach a problem like this, right?
108640	110040	Where do you even start?
111040	114800	Well, it's usually a good idea to think about simpler cases, so let's knock things down
114800	120240	to two dimensions, where you'll choose three random points on a circle, and it's always
120240	124480	helpful to name things, so let's call these guys P1, P2, and P3.
124480	129280	The question is, what's the probability that the triangle formed by these points contains
129280	131040	the center of the circle?
134720	139120	I think you'll agree it's way easier to visualize now, but it's still a hard question.
139120	142600	So again, you ask, is there a way to simplify what's going on?
142600	145720	Get ourselves to some kind of foothold that we can build up from.
145720	150560	Well, maybe you imagine fixing P1 and P2 in place, and only letting that third point
150560	151560	vary.
151560	154760	And when you do this, and you play around with it in your mind, you might notice that
154760	159440	there's a special region, a certain arc, where when P3 is in that arc, the triangle
159440	162000	contains the center, otherwise not.
162000	167240	Specifically, if you draw lines from P1 and P2 through the center, these lines divide
167240	172280	up the circle into four different arcs, and if P3 happens to be in the one on the opposite
172280	177760	side as P1 and P2, the triangle has the center, if it's in any of the other arcs, though,
177760	178760	no luck.
178760	184760	We're assuming here that all of the points of the circle are equally likely.
184760	188160	So what is the probability that P3 lands in that arc?
188160	193400	It's the length of that arc divided by the full circumference of the circle, the proportion
193400	195960	of the circle that this arc makes up.
195960	197720	So what is that proportion?
197720	199880	Obviously that depends on where you put the first two points.
199880	204240	I mean, if they're 90 degrees apart from each other, then the relevant arc is one-quarter
204240	205640	of the circle.
205640	208840	But if those two points were farther apart, that proportion would be something closer
208840	213960	to a half, and if they were really close together, that proportion gets closer to zero.
213960	215960	So think about this for a moment.
215960	220800	P1 and P2 are chosen randomly, with every point on the circle being equally likely.
220800	226480	So what is the average size of this relevant arc?
226480	231800	Maybe imagine fixing P1 in place, and just considering all the places that P2 might be.
231800	236680	All of the possible angles between these two lines, every angle from 0 degrees up to 180
236680	238920	degrees, is equally likely.
238920	245400	So every proportion between 0 and 0.5 is equally likely, and that means that the average proportion
245400	248280	is 0.25.
248280	253240	So if the average size of this arc is a quarter of the full circle, the average probability
253240	258080	that the third point lands in it is a quarter, and that means that the overall probability
258080	266800	that our triangle contains the center is a quarter.
266800	269840	But can we extend this into the three-dimensional case?
269840	274480	If you imagine three out of those four points just being fixed in place, which points of
274480	279200	the sphere can the fourth one be on, so that the tetrahedron that they form, contain the
279200	281840	center of the sphere?
281840	285200	Just like before, let's go ahead and draw some lines from each of those fixed three
285200	289840	points through the center of the sphere, and here it's also helpful if we draw some planes
289840	293280	that are determined by any pair of these lines.
293280	296960	Now what these planes do, you might notice, is divide the sphere into eight different
296960	301320	sections, each of which is a sort of spherical triangle.
301480	306480	And our tetrahedron is only going to contain the center of the sphere if the fourth point
306480	311560	is in the spherical triangle on the opposite side as the first three.
311560	316360	Now unlike the 2D case, it's pretty difficult to think about the average size of this section
316360	321400	as we let the initial three points vary.
321400	324800	Those of you with some multivariable calculus under your belt might think let's just try
324800	329080	a surface integral, and by all means pull out some paper and give it a try, but it's
329080	330080	not easy.
330080	333480	And of course it should be difficult, I mean this is the sixth problem on a Putnam, what
333480	335760	do you expect?
335760	339360	And what do you even do with that?
339360	343240	Well one thing you can do is back up to the two dimensional case and contemplate if there
343240	346920	is a different way to think about the same answer that we got.
346920	351280	That answer, one fourth, looks suspiciously clean, and it raises the question of what
351280	353800	that four represents.
353800	357080	One of the main reasons I wanted to make a video about this particular problem is that
357080	361900	what's about to happen carries with it a broader lesson for mathematical problem solving.
361900	366040	Think about those two lines that we drew for P1 and P2 through the origin.
